smiles,QeD,logP,TPSA,SMR_VSA3,SlogP_VSA3,MR,NumNatoms,NumOatoms,dipole,3Dscore,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,PBF
C1CC2CNCC1N2,0.4497584829824855,-0.2898,24.06,10.619626706576751,0.0,32.81539999999999,2,0,2.49174,1.5556389530122081,175.65793153950847,203.3466199333863,243.63272129373098,0.720994826174149,0.8346441268380591,1.6659140266348655,0.004751531112333139,0.6929404452260732,0.03616517014786986,0.6915913273866854,0.8469933019377442
C1NC[C@@H]2C[C@H]1CN2,0.44402822956970783,-0.4323000000000001,24.06,10.619626706576751,0.0,32.76739999999999,2,0,1.89472,1.5467732885421075,174.87520444051825,201.56333401908995,243.37020896864323,0.7185563310382408,0.8282169575038667,1.6621257505725693,0.004736045685571021,0.695468762148856,0.037232314770629535,0.6835502200317733,0.8691266752879008
C1C[C@H]2C[C@H](CN2)N1,0.4497584829824855,-0.2898,24.06,10.619626706576751,0.0,32.81539999999999,2,0,1.2498,1.5485058470219246,176.60864278161046,200.1200525755374,243.28529083804867,0.7259322673115333,0.8225735797103915,1.6624009196514398,0.004657606597020079,0.6877661981196347,0.03569973990176245,0.692930348291577,0.8526629058064257
C1CC2CNC1[C@H]1CNC[C@@H]21,0.5180859669285094,0.20379999999999981,24.06,10.619626706576751,0.0,44.36440000000001,2,0,1.97834,1.4585891084248273,263.8018972385215,456.1933809360543,493.6244717692426,0.5344181910046034,0.924170917420224,1.9964595060070836,0.003503276235290367,0.8452202062914537,0.12388575481557769,0.6986639861641911,0.9790535537273165
C1CC2NCC1C1CNCC21,0.5180859669285094,0.20379999999999981,24.06,10.619626706576751,0.0,44.36440000000001,2,0,1.22641,1.384299820947162,255.8888578835113,506.9707184343485,551.0797334322401,0.46434089725960676,0.9199589236875553,2.077336447954465,0.003595150376208837,0.885656553711507,0.17623047016636012,0.5792205911699667,0.9539151836892559
C1NC[C@H]2N[C@@H]12,0.3663863222536218,-1.0699999999999996,33.97,10.619626706576751,0.0,23.581399999999995,2,0,2.51361,1.2894349650826902,84.90368789930993,112.00870751986915,152.71215745770573,0.5559720281132454,0.7334629369694448,1.441554842761761,0.008638764170518513,0.8312010009351798,0.11435854472850955,0.5222988383347112,0.6713874924860138
C1CN[C@@H]2C[C@@H]2N1,0.41926062340282405,-0.6799,24.06,10.619626706576751,0.0,28.198399999999992,2,0,0.4048,1.18806922777139,123.00664306166153,161.2197652851095,239.23387770923927,0.5141689974659931,0.6739002303053969,1.6329915283082799,0.005478567771072169,0.8576888958385877,0.15368171201792885,0.42851974786968317,0.6254530752875995
C1NCC2CNCC12,0.43811527480957774,-0.5748,24.06,10.619626706576751,0.0,32.71939999999999,2,0,2.70914,1.3407283505631216,154.17325729389702,228.9020453568484,285.7217888245962,0.5395922303585449,0.8011361202045767,1.7265621466327818,0.005196336474083757,0.8419264961602592,0.11678292589813721,0.5417474822757276,0.7575555428322167
C[C@]12CNC[C@H]1CNC2,0.47010455326534095,-0.1846999999999998,24.06,10.619626706576751,0.0,37.336400000000005,2,0,2.68723,1.4783935573242197,250.49903466677688,262.3972160878492,346.9280884062627,0.7220488713310389,0.7563446859931807,1.8456741518511792,0.003019351699296161,0.691842053802436,0.04486851005785385,0.6812931409616546,0.9347166511696644
C[C@]12CNC[C@@]1(C)CNC2,0.5022558834240874,0.20539999999999986,24.06,10.619626706576751,0.0,41.953400000000016,2,0,1.14038,1.7132335561972614,310.487894030372,355.2221976673904,388.5693747298472,0.7990539507809606,0.9141796054163007,1.9388419561754389,0.0029443325263009304,0.6012593315212147,0.01657195993938045,0.8922636924078514,1.1460709180367923
C1CO[C@H]2CNC[C@H]2N1,0.43638458226278937,-1.0533999999999992,33.29,10.619626706576751,4.736862953800049,34.40039999999999,2,1,3.60621,1.113180534875157,157.91744907776317,346.47186208868726,453.1064776685281,0.34852172030365086,0.764658814571506,1.9326436111239984,0.004842142645015534,0.9373007044041862,0.29245317586009145,0.34119987646381217,0.6205348324441201
