smiles,QeD,logP,TPSA,SMR_VSA3,SlogP_VSA3,MR,NumNatoms,NumOatoms,dipole,PMI1,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,PBF
C1CCOCC1,0.4299400218016568,1.1869,9.23,0.0,4.736862953800049,24.66999999999999,0,1,1.66414,108.26134824518104,0.0053426045116328,0.8310818066769814,0.1647155358050632,0.4336338934136409,0.5640307385780503
C1CNCNC1,0.416103485436807,-0.4732000000000003,24.06,10.619626706576751,0.0,25.489399999999996,2,0,1.80817,108.73229373196632,0.0052875174024845,0.8265748449302481,0.162782585580938,0.5096561421187028,0.5968014717801989
C1CNCOC1,0.4471285942158591,-0.0462,21.26,5.309813353288376,4.736862953800049,23.438699999999997,1,1,2.36554,103.58303880861278,0.0055347461010534,0.8347950980753798,0.1705152567263991,0.3761061396159439,0.5287122846458719
C1CCOC1,0.4109376010493491,0.7968,9.23,0.0,4.736862953800049,20.053,0,1,2.03295,71.3467705759839,0.008021224349734,0.8254024876500298,0.1632123831461709,0.5055456024225305,0.5601990342606985
C1CCNC1,0.4347944578283113,0.3697999999999999,12.03,5.309813353288376,0.0,22.1037,1,0,1.5019,73.90084438558968,0.0078649547009326,0.8234022179515129,0.1570998513483481,0.5232553606536624,0.6139380193767829
c1cnoc1,0.4472609802175263,0.6746,26.03,5.156663257125445,0.0,16.503,0,0,3.16708,51.34866165554317,0.0098504192779179,0.869351560412678,0.2501011210664541,5.953669521645091e-09,5.545604354715086e-05
c1ccoc1,0.4460314875501462,1.2795999999999998,13.14,0.0,0.0,18.708,0,0,0.70514,53.585232880929794,0.0094128937407487,0.8685463632617975,0.2500578505547471,3.120800242628129e-08,0.0001530120182979
c1cc[nH]c1,0.4658690337597367,1.0147,15.79,4.977003270229252,0.0,20.7927,0,0,1.95095,55.431935687848096,0.0090781603315517,0.8678765052589048,0.2500311029880919,7.707822887218953e-09,8.127586469582475e-05
c1ccncc1,0.4531479654842905,1.0816,12.89,4.9839785209472085,0.0,24.236999999999995,0,0,2.39063,83.71076184903404,0.0060882939180102,0.8715288224474298,0.2502796981935394,8.176982814049546e-10,2.851866525719638e-05
C1CC2(C1)COC2,0.4418777914092467,1.1869,9.23,0.0,4.736862953800049,27.102999999999987,0,1,2.36683,85.60181117162065,0.0115611299403602,0.9453717356021726,0.3337548907597895,0.7069007056051938,0.7490351676815599
C1CC2(C1)CCO2,0.4438264540772613,1.3294,9.23,0.0,4.736862953800049,27.150999999999986,0,1,1.93703,86.66284291472354,0.0114725157668906,0.9377461806660145,0.3080579348562691,0.4565322847388076,0.7293405264202066
C1CC2(C1)CCN2,0.4733179944136214,0.9024,12.03,5.309813353288376,0.0,29.201699999999988,1,0,1.37743,88.99532060978576,0.011108018794431,0.9360402230235384,0.301409794987898,0.531029515110278,0.7303257015572364
